,Primary Subject,Complaint Narrative,Scam Type,Other Subjects,Website
72,Mana Pool manapool-eth.com,"A California victim complains about an internet scammer going by the name of Manapool, which claims to be a decentralized crypto trading platform whose web address www.Manapool-eth.info/# works in the browser page of Coinbase wallet, a popular crypto app. The victim got into decentralized crypto trading after meeting a woman on the internet who claimed to be from mainland China. Since September of 2022, the victim invested millions of dollars through Manapool. At some point, the victim decided to cash out and asked Manapool to put his coins back into his Coinbase wallet. Manapool told him he would have to pay $548,00 for “platform service charge” which he paid. Then Manapool said he needed to pay a $521,000 “margin deposit” which he did. Then he was asked to pay another $325,000. The victim protested, saying the process was taking way too long. So, Manapool said he could pay another $250,000 for “VIP service” to speed up the process. Just when he thought he had finally completed the withdrawal process Manapool told him his account was at risk because it had received an unknown deposit and asked him to pay more than a million dollars to resolve it, or they would freeze or close his account. The victim spent almost all his retirement money trying to get his money out and now believes Manapool is a scam that has to be stopped before it can do harm to more victims.",Pig Butchering Scam,,manapool-eth.com
73,MicroStrategy US (Entity impersonating MicroStrategy),"The victim participated in a livestream event on YouTube where subject offered “2 for 1 airdrop of Bitcoin or Ethereum, i.e., any Send will be returned with twice the Receive, up to 25000 ETH & 5000 BTC” for 24 hours. Victim sent 3 ETH and received a message from a Chat agent (translated from Russian as “Thanks for allowing me to eat.”) Victim then realized it was a scam. The company operated a website at https://airdrop-strategy.com.",Pig Butchering Scam,,https://airdrop-strategy.com/
74,Mindstone Technology Ltd mindstoneltd.org,"A California victim opened an account with MindStone Technology Ltd. (mindstoneltd.org) hoping to trade crypto assets. They deposited $91,000 dollars onto the trading platform. At some point, the victim asked for their money back and received an email stating that the refund was successful. The victim reports that the funds never arrived in their digital wallet and the website is no longer operational.",Fraudulent Trading Platform,,http://mindstoneltd.org/
75,Moodysfx Global Limited Moodyfx.com,"A California victim met a lady by the name of Lucy Barney aka Lucy Lee on LinkedIn who gained the victims’ trust by stating she wanted to start a non-profit to help autistic children. The victim believed ""Lucy” who said they could make money by trading in crypto assets. Lucy helped the victim set up an account on moodyfx.com account and showed them how to wire money to an exchange to purchase crypto assets and then transfer them to the Moodysfx account, which offered a deposit bonus. The victim deposited $10,000 and believed they made $800.00 on the first trade. After that, the victim deposited $315,000. Lucy told the victim she would need another $685,000 to make the account worth $1million because that would result in another bonus. At some point, the victim believed their trading profits were close to $400,000. But when the victim tried to make a withdrawal, the website denied the victim's request to withdraw funds, indicating that the account might be involved in money laundering.",Pig Butchering Scam,Lucy Barney/Lucy Lee,moodyfx.com
76,NATSLE.com,"The victim was contacted on WhatsApp by a woman named “Letty” claiming she knew him. They texted back and forth and became friends. One day Letty showed the victim how much she made trading gold on the Meta Trader 5 trading platform. At first, Letty had the victim set up a demo account to show how it was done. Then, Letty proposed he set up a real account and sent a website link where he could deposit cryptocurrency to get started trading. The victim thought the website looked very suspicious, so did an internet search and discovered a Consumer Alert on the DFPI website about a similar scam.  ",Pig Butchering Scam  Fraudulent Trading Platform,Letty  ,www.natsle.com  
77,NYMEX (Entity impersonating New York Mercantile Exchange),"A California Victim was approached by “Hao Yang” who instructed him to buy cryptocurrency on Coinbase and send it a website called “NYMEX” where he believed he had opened an account. Eventually he invested more than $650,000. At some point, his NYMEX account showed it was worth at least $10 million funds, but when he tried to withdraw the funds, he could no longer contact the company.    ",Pig Butchering Scam  Fraudulent Trading Platform  Imposter Scam,Hao Yang    ,    
78,OBFX Global,"The victim accepted a Friend Request on Facebook from “Alvin Robel.” After exchanging pleasantries, “Alvin” asked to move the chat to WhatsApp where victim thought they were developing a relationship. After a few months, Alvin brought up trading cryptocurrencies as a way to help achieve financial goals. Alvin instructed the victim how to set up accounts on legitimate crypto platforms like crypto.com and the MetaTrader5 platform. Alvin said they could earn $10 million trading together and told victim she could buy a villa in Croatia. Victim even took out loans to facilitate the aggressive trading goals Alvin had set. Alvin even claimed to have injected his own money into the account after the victim tried to trade on her own. Finally, Alvin told the victim the account was worth $1.25 million, and he was going to fly out to California to meet her. He then claimed he was in San Francisco, but had to quarantine due to COVID. At that point, victim was contacted by a “broker” who told her she needed to $95 in capital gains taxes to get the money out. After she paid that, the “broker” claimed the victim owed “spread fees” of $35,000. Victim has given more than $245,000 to the scammer including money taken out as loans borrowed from family and friends. The company operated a website at https://obgfx.cc.  ",Pig Butchering Scam  Fraudulent Trading Platform,  ,https://obgfx.cc/  
79,OS Option Exchange,"The victim thought he was investing in cryptocurrency through the website osoptionsexhchange.com and sent U.S. dollars. Scammers provided screen shots showing profits, but when victim tried to withdraw the money, he lost all contact with company.",Fraudulent Trading Platform,,https://osoptionexchange.com/
80,OpenSoil Open Soil X h5.opensoilx.com,"A Californian reports to the DFPI that a crypto asset trading platform called OpenSoil claims to operate an App, but rather than being available through a legitimate App store, it can only be installed through a link. The main purpose of the app is to get people to join and add funds to the Open Soil platform to then carry out ""arbitrage trades"". However, there is no evidence such trades were carried out and the complainant indicated they were unable to withdraw their funds. The website is no longer operational. A person named “Demi” claimed to be a Regional Support person. OpenSoil also claimed it was approved by the “California Banking Regulatory Commission.” In fact, no such agency exists that approves crypto asset transaction. The DFPI urges the public to be cautious about companies making such representations.",Fraudulent Trading Platform,Demi,http://h5.opensoilx.com/#/pages/auth/register
81,Penzo Limited,"The victim was contacted by an individual through Facebook promising great returns in cryptocurrency investing. Victim wired funds to Coinbase to purchase cryptocurrency, then sent that to the MetaTrader5 platform through his mobile device. The scammer showed a demo example where a $100,000 investment could earn profits of $11,000. The scammer showed victim pictures of her lavish lifestyle and said she could help him achieve success. Then the scammer walked the victim through a step-by-step process, transferring his money into the scammer’s account on the platform, then sending screenshots showing she had earned $200,000. The scammer then asked the victim if he wanted to transfer even more money. At that point, he became concerned asked for his money back. The scammer told him he had lost all his money and it was his fault for making bad trades. In all, the victim was scammed out of $10,000. The company operated the website https://penzolead.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,  ,https://penzolead.com  
82,Pinance.io,"A California victim sent bitcoin that he owned to cryptocurrency platform pinance.io. He decided to move his bitcoin, worth around $21,000 at the time, to pinance.io based on the favorable online reviews he read. Unfortunately, the site was a scam and ultimately shutdown in October 5, 2021. The victim has not recovered any of his bitcoin. It appears that at least 36 other people were victims of this scam.",Fraudulent Trading Platform,,https://pinance.io/
83,Poloina,"The victim claims this website is holding money he deposited to invest in cryptocurrency and demanding he pay taxes before he can withdraw. When he asked customer service why he couldn’t withdraw money and pay the taxes on his, the said if he didn’t pay the taxes to them he faced consequences such as negatively affecting his credit score, and possibly prison. The company operated the website at https:// poloina.com/EfyF.html.",Fraudulent Trading Platform,,https://poloina.com/EfyF.html
84,Privmoney Private Money,"The company, Private Money, advertises itself as a private crypto wallet available at https//privmoney.com. A California resident deposited 18 Bitcoin, and now cannot withdraw.",Fraudulent Trading Platform,,Privmoney.com
85,RB Hood (Entity impersonating a Robinhood-related entity),"The victim met a woman calling herself “Jiang Yingying” on social media and they communicated on WhatsApp, Telegram, and through text messaging. At some point, Jiang convinced him to open a crypto account, so he transferred $500 from his debit card, then transferred the cryptocurrency to a Chinese exchange at first called rbhoodc.com, but later it changed its name to rbhoodz.com, then changed again to rbhoodd.xyz. The victim even got a loan for $13,000 which he also deposited into rbhoodc.com through his Crypto.com account. Jiang kept saying he was making money and should add more capital, so he got another $9,500 loan and wired it to Coinbase. At some point, the victim tried to withdraw some of the money, but Jiang told him he had to pay taxes. Victim then spoke to a customer service agent at the exchange who also told him he had to pay taxes on the money before he could withdraw it. The company operated the websites at https://rbhoodc.com; rbhoodz.com; and rbhoodd.xyz.",Pig Butchering Scam,Jiang Yingying,http://rbhoodc.com/
86,Rakuten OPD (Entity impersonating Rakuten),"The victim met “Aimee Liu Jing” online on the dating site OkCupid. Aimee asked to continue the conversation on WhatsApp. Aimee then offered to teach the victim about trading digital assets. The victim purchased cryptocurrency through the Coinbase platform and then transferred money to an App which victim thought was associated with a legitimate company. Victim transferred more than $1 million in 10 different transactions, as directed by Aimee. At some point, Aimee told the victim that the market was unstable, and he should withdraw all the money. But when he tried to withdraw a small amount, the wallet app asked him to confirm his identity and provide identification, which he did, using his US passport as identification. He also provided his bank information for the deposit.",Pig Butchering Scam,Aimee Liu (Liu Jing),rakutenetopd.com/h5
87,Rapid Forex Trade RapidForexTrade.com,"A California Victim was persuaded to invest in Bitcoin mining by an old Navy Friend via Instagram. Victim made many separate transactions and deposits starting in May 2022. The victim was told they were assigned a broker named Taylor Williams who would communicate via WhatsApp, The victim was told his money was earning profits through Bitcoin mining and he believed his account balance had increased from $13,700 and changed to $20,000 at some point. But when the victim tried to withdraw his money, instead Taylor Williams gave them the run around, first making claims like: “this is the last step of the process” and “withdrawal should have gone through by now, “then telling the victim if didn’t pay a fee ASAP the company would close his account. The Victim then asked to switched brokers. The next broker was also named “Taylor” and communicated through WhatsApp. Things were no better with the new Taylor, who gave the victim the same experience as the first broker. The victim did a search online and found information that the company was a scam. He then filed a complaint with DFPI and reported it to the police. Victim can no longer access the rapidforextrade.com website, but “Taylor” still tries to contact him. The Victim has not received any money back.",Pig Butchering Scam,LeAnn Ellingburg,http://rapidforextrade.com/
88,Reliable Option Trade,"The victim met “Mrs. Linda” and they communicated through WhatsApp. At some point, Linda convinced the victim to open an account with Reliable Option Trade and told him to deposit $500. Victim then got a message from the company’s Support Team saying he could get Bitcoin if he deposited another $1,000 into his account. Then he was asked to deposit another $3,500 but he told them he didn’t have that amount, so they convinced him to invest $2,000 instead. Later he was told his account was worth $24,000 so the victim decided to withdraw his money. He filled out the withdrawal form and submitted it, then got a call from broker who offered to trade for the victim so he could make more money. The broker advised him to download the Trust Wallet app, which he did. Now he cannot get his money out of the Trust Wallet, and he is still being asked by the broker to put in more money. The company operated a website at https://www.reliableoptiontrade.com.    ",Pig Butchering Scam  Fraudulent Trading Platform  Advance Fee Scam,Mrs. Linda (Ph: +1 (323) 328-5265)   ,www.reliableoptiontrade.com    
89,Rhenium Nodium,"Hoping to set up a “node” on the Rhenium network, a California victim sought help from an administrator on the Rhenium discord channel. The victim got a response via a direct message from someone claiming to be an representative of Rhenium who sent them an .exe file to help convert their virtual private server (VPS) into a node on the Rhenium network. The .exe file worked and turned the victim’s VPS into a node. However, the victim later discovered all of their crypto wallets open on their computer screen and all of their crypto transferred out. The victim lost over $50,000 worth of crypto assets as a result of the scam.",Fraudulent Trading Platform,,
90,Rudolf Stark Pro Station rudolfstarkeps.com,"The victim sent approximately $15,000 worth of cryptocurrency to a trading platform to trade and earn money. But when he tried to withdraw some funds, the platform’s customer service rejected his request, saying he needed to pay taxes or approximately $23,000 first. After he paid that amount, customer service told him it would take 15 business days to complete the tax deduction. He waited more than 2 months, and now the customer service won’t respond anymore. The company operated the website at rudolfstarkeps.com.",Fraudulent Trading Platform,,rudolfstarkeps.com
91,Rui Win Capitals LTD,"The victim was introduced to “Enze Zhao” in a WeChat group. Zhao told the victim he was interested in her, and they continued to communicate. The victim gradually fell in love, believing she and Zhao shared many interests and values. Zhao told the victim he was an economics major and his hobby is to earn extra money through Rui Win Capitals LTD. Zhao convinced the victim they had a future together, but wanted her to do better financially, so they could build a house together in the Bay area. Zhao then suggested he could teach the victim to invest Gold Dollars on Meta Traders 5 through Rui Win. She put in $500,000, and Zhao told her she had completed a deal successfully and now had more than a million. But, she was told she had to pay 20% tax on the profit.  She paid, but still couldn't get her money back. Then the Rui Win customer service suggested that if she sent in 10% of her balance, she would become a VIP and get all her money back.  So, she sent in the 10% of what she thought was her online balance, more than $130,000 believing she would become a VIP. Then the customer service claimed that the platform had stopped functioning and she would have to wait for it to reopen. Meanwhile, Zhao asked her to keep sending him money to help him from getting into trouble, or he would go to jail. Eventually, Zhao stopped contacting the victim, she could no longer contact customer service at Rui Win, and she has lost close to $1 million.",Pig Butchering Scam  Romance Scam  Fraudulent Trading Platform,Enze Zhao    ,    
92,SOLANAFTX,,,,solanaftxdex.com
93,SantanMarkets.co,"The victim was messaged on Facebook by a stranger calling herself by “Belen Li”. After a few weeks of communicating, Belen Li offered to teach the victim how to trade cryptocurrency. She encouraged the victim to open a Crypto.com account and transfer money to the Meta Trader 5 trading platform and then into an account he opened at a website Belen Li told him about. Belen Li convinced the victim he had made a series of small, successful trades, and then asked him to transfer more than $5,303.00 from his Cyrpto.com wallet. After a few days, he told his account was closed and his funds were gone. He talked to “Kelly” via WhatsApp who claimed to be a Customer Service Manager for the website, who told him he was unable to access his account. The company operated the website at SantanMarkets.co.    ",Imposter Scam  Pig Butchering Scam  Fraudulent Trading Platform,"Belen Li ""Kelly"" (Customer Service Rep)   ",SantanMarkets.co    
94,Spotalertweb.com,"A California victim discovered a crypto asset trading website named Spotalertweb.com through a Telegram group. The victim opened an account, deposited $1,000.00, and began trading. But when the victim wanted to withdraw their money, the website asked for their crypto asset wallet address to begin the process. After they provided that, the website asked them to transfer more crypto assets to the website to process the transfer. The victim was unable to get their money back from the trading platform. Instead, $85,000.00 worth of crypto currency was transferred out of the victims’ crypto asset wallet and the website is no longer operational.  ",Fraudulent Trading Platform  Hacking,  ,Spotalertweb.com  
95,Stunwill Limited,"The victim invested $100,000 in online trading company through the Meta Trader 5 trading platform and started trading. At some point, he believed he had made profits exceeding $1.5 million, and made a request with the company to withdraw. They told him he needed to make a “risk deposit” of more than $300,000, which he deposited, and they then told him to wait one to three days for the funds to arrive in his crypto.com account. When his funds didn’t arrive after five days he asked the company, but this time they said he needed to pay a $100,000 penalty. He did not get his money back. The company operated a website at https://www.crm.stunwill.com.",Fraudulent Trading Platform,Peng Li,https://www.crm.stunwill.com
96,Sun Bit Proa,The victim reported a multilayered scam operation orchestrated by Sunbitproa.com where she transferred approximately 13 Ethereum via a Binance wallet. The company operated the website at https://SunBitProa.com.,Fraudulent Trading Platform,,https://sunbitproa.com/
97,Sundell Ltd Sundell FX Sundell-fx.com,"Two Californians complained separately about the gold trading platform, Sundell Ltd. (Sundell-fx.com).",Pig Butchering Scam,Amelia,http://sundell-fx.com/
98,Tahoe Digital Exchange (Ta.hoe),"The victim met a woman he thought was in love with him. After victim shared his dream of wanting to buy a motor home and travel, the scammer convinced him she could help him reach his goal through cryptocurrency. The victim gave the scammer $64,000 to invest in Tahoe Digital Exchange. The scammer then told him his investment was now worth almost $200,000. But when the victim tried to transfer the money out, Tahoe Digital Exchange told him he needed to pay more than $30,000 in taxes. After that, Tahoe Digital Exchange asked for another $20,000 for him to get his money back. The victim had no more money, so Tahoe Digital Exchange froze his assets, and he never heard from the woman again. The company operated a website at https://Tahoe-dex.com/dist.    ",Pig Butchering Scam  Fraudulent Trading Platform  Romance Scam,    ,http://tahoe-dex.com/ https://Tahoe-dex.com/dist   
99,The Big Mars thebigmars.com,"A California resident was on Twitter when a pop-up ad appeared stating “Welcome to 5000BTC GiveAway!” He clicked the link and was taken to “thebigmars.com” website where took a quiz and passed. He then got a message that read “To participate, send the amount you want multiplied (from 0.02BTC to 1 BTC) to the address below and, once we have received your transaction, we will immediately send the multiplied amount back (from 0.10BTC to 10BTC) to your address!”",Fraudulent Trading Platform,,http://thebigmars.com/
100,Token Swap,"The victim was introduced to Tokenswap.net by “Hayley” who told him he could make money. Victim invested several times and believed he had made a profit, but when he tried to withdraw the money he was first told he needed to make a deposit for taxes owed to the IRS. Then, he received an email from the website that asked him to submit a selfie holding an ID card, personal bank statements for the past three months, and a deposit of 30% of the total market value of his account, after which the website said it would review his withdrawal request. When the victim refused, he received another email saying if he did not pay the deposit within 5 days, he would not be able to withdraw his money, and that they had the right to freeze his account and “blacklist” him. The company operated the website at https://tokenswap.net.  ",Pig Butchering Scam  Fraudulent Trading Platform,Hayley  ,https://tokenswap.net  
101,Tony Alin Trading Firm,"The victim said that Tony Alin Berker asked them for $6,000 to invest, saying there would be no other fees. Then, Tony asked the victim for another $11,000 to “merge the accounts.” Then Tony said the victim needed to $8,100 for IRS fees. The victim paid Tony all the money, and he promised the victim they would get $270,000. But the victim never received anything back. Victim also said a good friend also lost $48,000 to Tony Alin Berker. The company operated a website at https://www.tonyalinberker.com.  ",Fraudulent Trading Platform  Advance Fee Scam,Tony Alin Berker  ,https://tonyalinberker.com/  
102,Trade 1960,"Victim was contacted on Instagram by “Stefanie Kammerman” who said she lived in Las Vegas. Stefanie directed the victim to buy Bitcoin and open a trading account with www.trade1960.com. But when he wanted to take some money out, Stefanie said he had to wait 6 months to withdraw. The victim then emailed www.support@trade1960.com and was told he needed to pay a broker fee of $3,500 in bitcoin. Now he wants his money back. The company operated a website at https://www.trade1960.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,Stefanie Kammerman  ,https://trade1960.com/  
103,USDCDE.site Entity Impersonating U.S. Department of Cyber Security Official Service for Control and Compensation Payments,"A California victim received an email with an official-looking government logo claiming to be from the “U.S. Department of Cyber Security” and that it was the “Official Service for Control and Compensation Payments.” The email claimed that the victim was owed compensation for a cybersecurity breach at Bitcoin. The email had a “Personal notification” number and a link to “Open the official website of the Department.” When the victim clicked the link, he was told to send a “transfer fee” and then the compensation would be transferred to his account. Once the victim sent the fee from his Cash App account, the scammers somehow took all his Bitcoin out of the account, which was his life savings.",Imposter Scam,,http://usdcde.site/
104,Unison FX Limited,"The victim met “Yuna Li”, who also called herself “Alicia” on Instagram. Alicia said she resided in West Hollywood, and after chatting for a few days, Alicia told the victim they could make money by trading Ethereum on the Meta Trader 5 (MT5) platform. Alicia said she could get inside information (known as trading signals) from her Uncle working in finances. She told the victim they would only trade when her uncle gave her the signal. Alicia showed the victim how to wire transfer funds to crypto.com and then send to a broker at UNISON FX LIMITED through MT5. Alicia alerted the victim on Instagram when to buy and sell, open a position and setup the take profit limit. After a few weeks, Alicia told the victim he had made around $200,000. At some point the victim tried to withdraw $100,000, as Unison showed he had a balance of approximately $430,000. At that point, the victim’s MT5 app was hacked and his entire account was wiped out. Unison refused any withdrawal and blocked him out of his account. Then Alicia blocked the victim on Instagram and vanished. The victim lost approximately $230,000. The company operated a website at https:// www.unisonfx.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,Yuna Li (Alicia)  ,https://unisonfx.com/  
105,Uniswap.LLC (Entity impersonating Uniswap Ltd.),"The victim met a person calling themselves “Heitor Ryan” on the internet who claimed to work at a bank. They chatted as friends for several months, then Heitor lured the victim into investing on a crypto website that turned out to be a fraud. Victim thought they were investing in a liquidity mining pool called uniswap.llc that the person online promised would provide a high rate of return based on “tiers” according to the amount invested. The site claimed the investment would stay in U.S. dollars, thus avoiding the risk of being invested in cryptocurrency, and said the investment was perfectly safe. Victim transferred cryptocurrency into an account on the site, and the site showed him making daily returns. But when the victim tried to withdraw the funds, he was told that his wallet address was “abnormal,” and he would need put another $7,000 in to clear it up. Victim has not been able to get the $14,000 he invested back. The company operated the websites at https://Uniswap.org.",Fraudulent Trading Platform,Hector Ryan (or Heitor Ryan),https://uniswap.llc/
106,Unix FX Trades unifxtrades.live,"A California widowed mother of four children, reports she fell victim to a crypto investment scam after she befriended “Victoria Ruth” on Facebook who claimed to be a “Senior Expert Trading manager” at “CryptoCurrency forex trade/bitcoin mining.”. “Victoria” offered to teach the victim how to invest in crypto. Following “Victoria’s” instructions, the victim made a modest $200 initial investment by purchasing bitcoin and transferring it into a Unix FX Trades account for “Victoria.” Her investment appeared to earn incredible interest, and the victim continued to invest under “Victoria’s” guidance. In return for her investment assistance, “Victoria” told the victim she would charge a 20% commission fee for every “cycle” she was invested. The victim was told that the commission could not be paid out of the victim’s investment account (which at one point appeared to have a balance in excess of $4M); instead, the victim needed to send “Victoria” more bitcoin to have the funds released for withdrawal. Despite the victim sending over $10,000, the account was never released, and “Victoria” continued to demand payment for various additional fees.",Pig Butchering Scam,Victoria Ruth,https://unixfxtrades.live/
107,VoyanX.com,"Victim #1, a front-line health care worker, and Victim #2 met with someone on the Muslim social app Salam who called herself “Anna” and exchanged numbers. This person then directed the victims onto WhatsApp where they began a friendship. Anna claimed to work for the community, orphans and doing free medical camps for the low resource populations. At some point Anna introduced the victims to crypto telling them they would never lose as her uncle worked in crypto and her cousin “Rheo” had this exchange, Voyanx and helped them set up an account. The victims transferred $2,000 to Anna who told them she would put the crypto into an account at Voyanx (through a link Anna sent). Anna claimed she would teach the victims how to trade via screenshots and claimed she could earn $1,500 a day. At some point, Anna became intimidating and told the victims to go to the bank for a loan and that she would double their money. The victims transferred another $10,000. The scammer showed screenshots that said the victims’ balance was $141,219. The victims wanted to transfer the crypt profits back into their bank accounts and contacted the Voyanx app customer service online but were told they needed to pay a $42,000 transfer fee. The victims reached out to Anna who convinced them to pay her $20,000 to help her get money from the Voyanx application, and even showed the victims a screenshot showing a successful withdrawal. When the money never actually arrived in the bank accounts, they called the app’s customer service again and were told she needed to transfer another $10,000 for an ID verification. At that point, the victims called Anna and begged for their money back. Anna said if she paid an additional $10,000 she would transfer the whole amount. Later, Victim #1 learned the scammer had hacked into her bank account and phone. The company operated the website https://VoyanX.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,  ,Voyanx.com/  
108,Whitcoin Pro Exchange MercoTax Whitcoinpro.net,Two Californians complained separately about Whitcoin crypto platform.,Fraudulent Trading Platform,Qin Liu,http://whitcoinpro.net/
109,Win Coining wincoining.com,"Two Californians separately complain about the crypto asset exchange, wincoinin.com. The first victim met “Lucy Cheong” via LinkedIn and they began having conversations over the phone. After a while, Lucy suggested that they invest together in crypto assets. Lucy showed the victim how to create an account on “crypto.com” and told them to transfer money from their bank into a “Trust Wallet” and then deposit their crypto assets into an account wincoing.com. Lucy told the victim to wait for her signal on when to trade. Lucy told the victim to enter the amount of crypto assets they wanted to trade on the website, pick a % profit they wanted to make, enter a time of 15- 30 seconds, and then hit the “Buy Long” button. Lucy would then direct the victim to hit the “Confirm Order” button. On the very first trade, the website showed they had made a profit. The victim wanted to stop there, but Lucy insisted they trade again and put in even more money. After the third trade the victim wanted to withdraw, and Lucy showed them how to withdraw through the website and said it would take about 10 minutes. After about 30 minutes of the website showing the withdrawal was “in process”, the victim tried to use the website’s online chat service. After waiting 20 minutes, they got a response saying the funds were in process, but they would need to pay a 12% service fee to access their funds, otherwise the website would freeze the funds and charge a .05% daily late fee. The victim now realizes this is a scam. They lost $290,000 which was their life savings. The second victim provided screenshots from wincoining.com showing he invested $184,000.00 and that he had made $47,000.00 in profits from trading but is unable to withdraw his funds.",Pig Butchering Scam,Lucy Cheong,https://wincoining.com/#/
110,Wintermute (Entity Impersonating https://www.wintermute.com/),"Victim met someone calling herself “Rosalie” on WhatsApp, who introduced him to eth-Wintermute.net, telling the victim this would generates dividends on liquidity pools every 6 hours based on the amount of money put into the MetaMask app wallet. The scammer walked the victim through the process where he downloaded the BinanceUS and MetaMask apps on his phone, then used the MetaMask browser to connect to eth-wintermute.net Victim transferred approximately $130,000 over the course of a few days. Then Rosalie pressured victim to change to an escrow contract, to “lock in his profits” for 7 days, earning higher interest once a day, instead of every 6 hours. After the showed his investment was worth more than $167,170 the victim tried to withdraw but Rosalie, and the “customer support” person on the app, told him he needed to deposit another $84,000 in order to withdraw the full amount. Now, his $167,170 in the DAPP app, and he cannot withdraw it. He contacted the legitimate platform Wintermute.com, who told him that eth-wintermute.net is not part of Wintermute and is not connected with them. Thus, the scammers impersonated the real Wintermute.com's website to fool the victim.",Fraudulent Trading Platform,Rosalie,http://eth-wintermute.net/
111,X Coin Trading xcoin-trading.com,"A California resident identified a website (XCointrading.com) that advertised “Buy and Sell Coins at the Crypto with minimal fees of 1%” and stated all user funds were stored on the project wallets. It also said “Do not trust the project – do not make a deposit in any case. Nobody is forcing you to do this! You yourself say this a risk! If this is a risk to you, don’t do it.” The website is no longer operational.",Fraudulent Trading Platform,,http://xcoin-trading.com/
112,Yong Ying Global Investments Co limited,"The first victim was contacted on WhatsApp by a stranger claiming they worked for an investment firm called ""Yong Ying Global Investment Co."" The stranger convinced the victim to wire money using the Meta5 trading platform to purchase crypto currency. Essentially, the victim wired more than $450,000, believing that the money was being put into an investment account. At some point, the victim tried to withdraw the money, but was told he was locked out of his account. Then the stranger blocked him on WhatsApp.  The second victim met a woman on WhatsApp named “Li Sa” and they became friends. Eventually, she offered to show him how to trade foreign exchange on the Meta trader 5 platform and had him register at www.fix-yongying.com. Over a period of months, the victim made multiple transfers of cryptocurrency to the platform and believed he was had made profits of more than $180,000, At some point, the platform informed the victim they had blocked his account and he would need to pay taxes before he could withdraw any money. The company operated the website at fx-yongying.com.",Pig Butchering Scam  Fraudulent Trading Platform,Li Sa (WhatsApp: 1-623-268-4052) ,fx-yongying.com  
113,ZC Exchange,"The victim met “Nisa Gacias (aka Champion)” online who introduced to investing in cryptocurrency. He started by transferring $25,000 to the crypto trading platform ZC Exchange, then added $100,000 more. Everything seemed to be fine during this time and as he believed his investment was growing in value, he continued to put in more money. At some point, the victim believed his account held $1.2 million Tether, and he decided to withdraw some money. He was then told before he could withdraw, he needed to pay taxes of $187,000.00 to the trading platform. When the victim asked for an extension to pay, he was told there would be an additional charge of $8,000. Victim refinanced his house and paid the taxes and fee, thinking he would get his money from the investment back. But the company only demanded more money to liberate his funds, so he had to borrow more money from relatives. Despite paying the money, the company still didn't allow him to withdraw funds and kept demanding more funds. So far, the victim has paid more than $400,000 on top of the money he invested. He is only able to communicate online with ZC Exchange’s customer service and cannot get ahold of a live person. Meanwhile, Nisa encouraged him to pay the company so he can get his funds back. The company operated the websites at https://zcorg01.com and https://FTXbuy66.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,Nisa Gacias (aka Christine Champion) (Telegram: @Nisa556396) (8526 597 8048),Zcorg01.com FTXbuy66.com 
114,"api.scbtrader.com (This is not to be confused with other companies using the name ""Scbtrader"")","The victim received a text from a stranger named “Sally” and began communicating with her. She suggested that they moved their conversations to an app called Telegram. At some point, Sally told the victim he could making money trading cryptocurrency on an online platform and sent him a link to establish an account. Sally then began providing instructions on when to buy and sell the crypto coin Sheb. Victim transferred money from his bank account to the platform, eventually sending approximately $24,000, and believed his account was growing in value. But when he tried to withdraw some money, he was told he needed to pay taxes first. Sally directed him to transfer money from his bank account to the Cryptocurrency Regulatory Authority to pay the taxes. After he did so, the platform told him he missed the deadline, and now needed to pay another $4,000. When he refused to pay this amount, Sally blocked him on Telegram. The company operated the website at api.scbtrader.com.",Pig Butchering Scam,Sally,api.scbtrader.com
115,bxbcc.com,"The victim received a WhatsApp invitation link text to join a trading group called BTC Investment. Victim contacted the group admin “Hannah” who helped her set up her account with bxbcc.com. Victim then transferred $500 and started trading with the group. Victim thought things were going well for a couple weeks and even withdrew some money just to be sure. “Hannah” then pressured her to increase her investment to make more profits, so the victim increased her investment to $5,000. Victim then tried to withdraw more money, but Hannah told her that the funds were frozen until the program ended the following month. Victim really needed the money, so she reached out to the website’s customer service, who told her she would have to pay 5% of her total funds for taxes to withdraw her money. The company operated the website at https://bxbcc.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,Group Text invitation link Hannah (group admin) ,bxbcc.com  
116,bybpoz.com imxofz.vip,"A California victim met “Luna” through social media and they communicated through Telegram and WhatsApp. Luna claimed to live in Manhattan, New York, and own a clothing company. After becoming friendly, one day Luna asked the victim to install an app for trading crypto assets. Luna told the victim you could select the amount you wanted to invest on the app, select whether you thought the crypto asset was going to go up or down and promised returns of 30% to 60%. Luna showed the victim how to use it and said the victim had made a profitable trade. Luna then encouraged the victim to add more money showing her how to wire transfer money to crypto.com, purchased purchase crypto assets, and move them to the exchange app. At some point, the victim tried to withdraw the funds from the exchange app, she was told that her account was blocked, and the app demanded she pay an additional $30,000.00 to have the account unblocked. She cannot recover her money now.",Pig Butchering Scam,Luna,https://www.bybpoz.com/download
